,tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,pm25,categori
0,1/1/2021,DKI1 (Bunderan HI),38.0,29.0,6.0,31.0,13.0,53.0,PM25,53.0,SEDANG
1,1/2/2021,DKI1 (Bunderan HI),27.0,27.0,7.0,47.0,7.0,47.0,O3,46.0,BAIK
2,1/3/2021,DKI1 (Bunderan HI),44.0,25.0,7.0,40.0,13.0,58.0,PM25,58.0,SEDANG
3,1/4/2021,DKI1 (Bunderan HI),30.0,24.0,4.0,32.0,7.0,48.0,PM25,48.0,BAIK
4,1/5/2021,DKI1 (Bunderan HI),38.0,24.0,6.0,31.0,9.0,53.0,PM25,53.0,SEDANG
5,1/6/2021,DKI1 (Bunderan HI),41.0,23.0,13.0,46.0,13.0,58.0,PM25,58.0,SEDANG
6,1/7/2021,DKI1 (Bunderan HI),35.0,22.0,6.0,39.0,10.0,47.0,PM25,47.0,BAIK
7,1/8/2021,DKI1 (Bunderan HI),37.0,26.0,16.0,17.0,10.0,54.0,PM25,54.0,SEDANG
8,1/9/2021,DKI1 (Bunderan HI),47.0,16.0,27.0,22.0,12.0,61.0,PM25,61.0,SEDANG
9,1/10/2021,DKI1 (Bunderan HI),23.0,16.0,11.0,33.0,8.0,33.0,O3,25.0,BAIK
10,1/11/2021,DKI1 (Bunderan HI),38.0,17.0,14.0,27.0,10.0,54.0,PM25,54.0,SEDANG
11,1/12/2021,DKI1 (Bunderan HI),29.0,20.0,12.0,26.0,15.0,50.0,PM25,50.0,BAIK
12,1/13/2021,DKI1 (Bunderan HI),34.0,17.0,13.0,20.0,9.0,44.0,PM25,44.0,BAIK
13,1/14/2021,DKI1 (Bunderan HI),36.0,15.0,15.0,26.0,13.0,57.0,PM25,57.0,SEDANG
14,1/15/2021,DKI1 (Bunderan HI),42.0,14.0,15.0,32.0,12.0,62.0,PM25,62.0,SEDANG
15,1/16/2021,DKI1 (Bunderan HI),52.0,15.0,17.0,25.0,14.0,73.0,PM25,73.0,SEDANG
16,1/17/2021,DKI1 (Bunderan HI),52.0,17.0,15.0,26.0,14.0,71.0,PM25,71.0,SEDANG
17,1/18/2021,DKI1 (Bunderan HI),40.0,16.0,11.0,26.0,12.0,52.0,PM25,52.0,SEDANG
18,1/19/2021,DKI1 (Bunderan HI),31.0,13.0,12.0,25.0,12.0,41.0,PM25,41.0,BAIK
19,1/20/2021,DKI1 (Bunderan HI),35.0,12.0,12.0,22.0,13.0,35.0,PM10,34.0,BAIK
20,1/21/2021,DKI1 (Bunderan HI),43.0,13.0,14.0,28.0,15.0,51.0,PM25,51.0,SEDANG
21,1/22/2021,DKI1 (Bunderan HI),49.0,14.0,14.0,28.0,15.0,63.0,PM25,63.0,SEDANG
22,1/23/2021,DKI1 (Bunderan HI),72.0,14.0,43.0,44.0,20.0,108.0,PM25,108.0,TIDAK SEHAT
23,1/24/2021,DKI1 (Bunderan HI),33.0,12.0,14.0,23.0,10.0,48.0,PM25,48.0,BAIK
